sigma12,sigma21,scenario
0.9652462781550479,1.0100143392459602,Neutral
0.9516694081159509,1.0198105118878265,Neutral
1.0711170647525632,0.9288248653006423,Neutral
1.0786468657523245,0.944534884964869,Neutral
1.0866609663746436,0.9746715383053886,Neutral
1.1037788594840074,0.9196680947680945,Neutral
0.9949910059745112,0.9545380908684677,Neutral
0.9927152879397193,0.9350461168641658,Neutral
1.03061731215154,0.9302750039621376,Neutral
1.1060664012941437,0.958650494001044,Neutral
1.0934600720470016,0.9278930495457652,Neutral
1.0624278295271545,1.004138628188278,Neutral
1.0628608990422823,0.9655188124057432,Neutral
1.1611795110346699,0.8763110949080194,Neutral
1.168787087829791,0.8619837553905177,Neutral
1.1513341418617786,0.8632980366339227,Neutral
1.0835123678479235,0.9809573558996685,Neutral
1.0719798955131277,0.9221932020201835,Neutral
1.0721176811110693,0.909678450111303,Neutral
1.075349451007361,0.9422817072940848,Neutral
0.9711070735125277,1.0254127870606844,Neutral
1.0166339382184653,0.9699742914354876,Neutral
0.99321001311781,1.0420326620553733,Neutral
0.9946267463019849,1.040136671996105,Neutral
0.9102314083432056,1.0705837004998597,Neutral
0.9316465437474826,1.0917130372963397,Neutral
0.9274852780945209,1.0655175615796222,Neutral
1.033789703392565,0.9864259110747615,Neutral
1.0342761510481289,0.9944093487805453,Neutral
0.968602172989797,1.0279997750513878,Neutral
0.9847472471749217,1.0372766922463497,Neutral
0.9814184295295844,1.0384253192481927,Neutral
0.9686576635076383,1.0254426843397038,Neutral
0.9536448785034546,1.028954733678496,Neutral
0.9988298181499418,0.995502000995227,Neutral
1.0025559013002454,0.9486517725012427,Neutral
0.9944799006337282,0.951235105884965,Neutral
0.9936311546362456,1.0459937587687806,Neutral
0.9783824746484834,0.9994340515559273,Neutral
0.968677065726899,1.0010857540663998,Neutral
0.9391927499697783,1.0067306689376685,Neutral
0.9202885484576279,1.079646747445115,Neutral
0.9673613015805755,1.0296327066976116,Neutral
0.9771666694021042,1.0938207868376904,Neutral
1.0173022830447485,0.9021936935586387,Neutral
1.0714337271520336,0.9301325024788943,Neutral
1.043895308371137,0.9542685007455474,Neutral
1.072281434534054,0.9259372894733486,Neutral
1.1567708873859528,0.9037961365330227,Neutral
1.1301259103194174,0.8610997905986348,Neutral
1.08990758108368,0.9117346829060878,Neutral
1.0482002989771095,0.9969314057184407,Neutral
1.040328030113531,0.9850121308448717,Neutral
1.0422785461955115,0.9653668057583844,Neutral
1.0296211420292911,0.974910393937565,Neutral
1.0591938199617594,0.9471028489723731,Neutral
1.058771717357964,0.9371246702551969,Neutral
1.05426802433946,0.9697207898962341,Neutral
1.0130402735257475,0.9672495622168901,Neutral
1.029190850329404,0.9563609785984493,Neutral
1.0274337307257058,0.9636177849333136,Neutral
1.058727129466815,0.9636483868534814,Neutral
1.1610040096482321,0.8957105485513326,Neutral
1.121263691759977,0.8483378063146312,Neutral
1.1252235845048117,0.8473977683820016,Neutral
1.1496979983676698,0.8646288963139219,Neutral
1.1146436048359585,0.8846899114966877,Neutral
1.1161504877162667,0.9006719681523346,Neutral
1.0195003262535354,0.9767207337568351,Neutral
1.033699192468783,0.9880388693098834,Neutral
0.9942095870256463,0.958227136269905,Neutral
1.1430651532050269,0.9085178129818404,Neutral
1.1042408513969983,0.8951754340447259,Neutral
1.0714330506598029,0.9605848752830035,Neutral
1.1053438275369836,0.9354738217108802,Neutral
1.0414690245485805,0.9235833504756845,Neutral
1.1353250791238811,0.9281384290226606,Neutral
1.040955853028338,0.9304233846761719,Neutral
1.0335660488211829,0.9258244943470805,Neutral
